City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,faya-largeau,17.9257,19.1043,303.39,53,100,4.24,TD,1691797903
205,merke,42.8728,73.1786,293.4,47,0,2.52,KZ,1691797903
206,sokhumi,43.0033,41.0153,298.67,90,99,1.27,GE,1691797903
207,egilsstadir,65.2653,-14.3948,282.1,87,100,6.17,IS,1691797903
208,deltebre,40.7499,0.7868,298.34,81,0,2.66,ES,1691797903
209,uhersky brod,49.0251,17.6472,288.36,74,1,1.13,CZ,1691797904
210,ancud,-41.8697,-73.8203,279.05,73,98,0.84,CL,1691797904
211,murray bridge,-35.1167,139.2667,284.33,85,100,1.08,AU,1691797904
212,tucurui,-3.7661,-49.6725,300.0,51,8,0.96,BR,1691797904
213,kavieng,-2.5744,150.7967,301.23,74,82,5.54,PG,1691797904
214,fale old settlement,-9.3852,-171.2468,301.33,67,42,4.9,TK,1691797904
215,khandyga,62.6667,135.6,297.17,42,1,1.1,RU,1691797905
216,lihue,21.9789,-159.3672,302.92,65,100,4.63,US,1691797905
217,tofol,5.3248,163.0078,303.03,79,75,1.54,FM,1691797905
218,huarmey,-10.0681,-78.1522,293.0,81,6,4.76,PE,1691797905
219,massawa,15.6097,39.45,306.09,58,63,0.64,ER,1691797905
220,sarupathar,26.1984,93.8094,297.41,99,100,2.45,IN,1691797905
221,selfoss,63.9331,-20.9971,285.95,87,97,1.32,IS,1691797905
222,tazovsky,67.4667,78.7,276.35,58,0,10.52,RU,1691797906
223,hawaiian paradise park,19.5933,-154.9731,300.39,86,100,1.54,US,1691797906
224,goure,13.9835,10.2704,302.9,55,100,1.85,NE,1691797906
225,queenstown,-31.8976,26.8753,284.17,48,1,2.35,ZA,1691797906
226,bubaque,11.2833,-15.8333,299.36,86,92,8.14,GW,1691797906
227,ludhiana,30.9,75.85,300.85,83,21,0.89,IN,1691797906
228,ardestan,33.3761,52.3694,298.91,17,0,0.93,IR,1691797906
229,borskoye,53.0333,51.7167,288.88,53,0,2.75,RU,1691797907
230,ha'il,27.5219,41.6907,305.16,19,34,0.0,SA,1691797907
231,monte alegre,-2.0078,-54.0692,300.68,58,23,1.83,BR,1691797907
232,mil'kovo,55.6078,37.7956,294.88,84,100,2.87,RU,1691797907
233,choibalsan,48.0667,114.5,291.36,74,0,3.62,MN,1691797907
234,haiku-pauwela,20.9219,-156.3051,302.16,59,40,10.8,US,1691797907
235,arraial do cabo,-22.9661,-42.0278,295.0,86,0,10.62,BR,1691797908
236,st. john's,47.5649,-52.7093,291.47,92,75,3.09,CA,1691797677
237,newman,37.3138,-121.0208,307.07,22,8,3.57,US,1691797908
238,kununurra,-15.7667,128.7333,296.14,49,100,0.51,AU,1691797908
239,uturoa,-16.7333,-151.4333,298.1,68,65,7.03,PF,1691797908
240,tongouson,5.0214,120.1328,300.24,81,100,4.51,PH,1691797908
241,kasongo-lunda,-6.4667,16.8167,297.07,56,57,0.68,CD,1691797908
242,charlotte amalie,18.3419,-64.9307,303.0,79,40,4.12,VI,1691797908
243,island harbour,50.724,-1.2758,289.81,93,93,2.68,GB,1691797909
244,lodwar,3.1191,35.5973,300.48,46,13,6.25,KE,1691797909
245,contamana,-7.3333,-75.0167,300.98,59,83,1.43,PE,1691797909
246,les cayes,18.2,-73.75,300.96,83,97,3.67,HT,1691797909
247,tsiombe,-25.3,45.4833,287.74,89,5,0.95,MG,1691797909
248,the pas,53.8251,-101.2541,290.16,82,100,2.06,CA,1691797909
249,sisimiut,66.9395,-53.6735,280.55,86,99,2.82,GL,1691797910
250,dobrinka,52.1653,40.4731,297.85,34,87,7.27,RU,1691797910
251,la jolla,32.8473,-117.2742,302.7,81,100,4.63,US,1691797910
